ten_mu,file_id,la_pilot
blind_80ee1256d1f240f1.wav,as_strong_0vDonUuNbmY_30000,False
blind_0359d5d9910c0477.wav,as_strong_0BEtPXdDQrs_250000,True
blind_64970e8a46297230.wav,as_strong_-AIHL5EIKUg_30000,True
blind_d08a480af73e1d54.wav,as_strong_-nDPmlHReow_60000,True
blind_568ac90631fcb137.wav,as_strong_-Y1qiiugnk8_30000,False
blind_ffcbf7925d7746a1.wav,as_strong_08bVSqAKJiM_60000,True
blind_4b705dafbd20bfcd.wav,as_strong_-8NAgM8SeAI_27000,False
blind_9c6e4344dfb94518.wav,as_strong_-4RWqM0UCCY_0,False
blind_faefd6db56e8b12f.wav,as_strong_-3MV6T3u9Ig_30000,True
blind_7af98a58cd71fe4c.wav,as_strong_-gqN3xq05ns_10000,True
blind_b572215bd06d1d5b.wav,as_strong_-0TTFAArJ9k_30000,True
blind_3ff53681eb8dddda.wav,as_strong_-t-lmWNCXt0_10000,False
blind_a37336b2454db55a.wav,as_strong_-CAVgokM1J8_30000,False
blind_db5ddad37b41342c.wav,as_strong_-BhR8VPW3OU_20000,False
blind_f752f688cca87265.wav,as_strong_-K7wCAdBEIo_30000,True
blind_8be5452f42b23b89.wav,as_strong_-Xi0wyg4SvY_0,False
blind_d650485ba58f5c59.wav,as_strong_-GqQBNJ9yz8_30000,False
blind_4f58429397e45658.wav,as_strong_-H4GaC4DugA_0,False
blind_3713dd8c054dd6f3.wav,as_strong_-3-uw-w5Mi0_50000,False
blind_9baed54141b443f6.wav,as_strong_0kOp0Xvchss_13000,True
blind_a53485c2bea65689.wav,as_strong_03bZUQDFJU8_30000,True
blind_57e7871021d700e0.wav,as_strong_-lGgPvca_KE_24000,False
blind_d659c46c73a89ba7.wav,as_strong_0BCXcbaLeoA_30000,True
blind_7c8fd206f1ed6316.wav,as_strong_13ApmSOcZpU_30000,True
blind_7c7c7807c75ca2c5.wav,as_strong_-guAT8rQA4o_260000,True
blind_9e8322c6cb27f76b.wav,as_strong_-YAyjUL7_xo_200000,False
blind_14cc7e9927db182a.wav,as_strong_-ockHs8mYQo_12000,True
blind_774b5b462980cb3b.wav,as_strong_-_WukCb36i0_100000,True
blind_04898d77c421b1eb.wav,as_strong_-HIozxABvUQ_30000,True
blind_8268a9d5c827048d.wav,as_strong_-oGJwGEsIiA_90000,True
blind_ebc29e46a4681c01.wav,as_strong_0WLcRXn2Th0_30000,True
blind_6aa1f4b09c0ad267.wav,as_strong_-ewBC-6gLSo_30000,True
blind_fdb2b533e732dc62.wav,as_strong_0yZGysisqY0_12000,True
blind_a58005a9c4390cd5.wav,as_strong_0wOWAMJAYFo_50000,False
blind_e8c19256fba8c9f8.wav,as_strong_-45YCn58LSk_90000,True
blind_138883ef3033460e.wav,as_strong_15mQMIemjFM_90000,False
blind_740525a557facaec.wav,as_strong_-5F-IejjG9w_0,False
blind_a2fcdb2d087a2f2a.wav,as_strong_1MTKUN3uFrs_440000,True
blind_d1435be4e56fb74b.wav,as_strong_-Da3jazYBz0_30000,False
blind_82d95fd2df84dacb.wav,as_strong_-ABCvk86DjY_30000,False
blind_d030f8ec7bcb618a.wav,as_strong_-7Mm4iEzicM_30000,False
blind_4c8107e79b749370.wav,as_strong_-OSpN9z9WOg_20000,True
blind_528813416c4bb356.wav,as_strong_0Czb_5CPlqI_30000,False
blind_1ee54ee9ad8b1505.wav,as_strong_0NccYNhasX0_30000,False
blind_3af9f19856015736.wav,as_strong_0VfSLH1v_54_40000,True
blind_29c6a86bd80b53a0.wav,as_strong_-75iY1j3MeY_30000,True
blind_f8f8783502703777.wav,as_strong_-glN59TmfME_30000,True
blind_1fe3e9dbdedbaff7.wav,as_strong_-pUfYFcsgG4_0,False
blind_d5e3a8b5e0e542ea.wav,as_strong_00wORCOKNHw_14000,False
blind_0b6a929dd0d00b42.wav,as_strong_-IUWIKR9luM_30000,False
blind_625aca7051e42ac0.wav,as_strong_12J3-32m1AQ_220000,False
blind_e5209ba1a837b5be.wav,as_strong_0kqQNBR09Rc_90000,False
blind_dede95efc7eca4c4.wav,as_strong_-IHTxGRyHC0_18000,False
blind_ce33c72a10649331.wav,as_strong_-99MQ06mPYE_30000,True
blind_22bb89b822a4c411.wav,as_strong_-Xo3fxIH7Uk_30000,True
blind_32b71b12b32d5b36.wav,as_strong_13oJG7Y-SDM_30000,False
blind_de042f51b20c55bc.wav,as_strong_0gyX2_R456I_20000,True
blind_e0088e40b4ede801.wav,as_strong_0AuCSM3lekc_25000,False
blind_f903db733b1c7631.wav,as_strong_-FiHp5DFJmY_30000,True
blind_7a1269e46f8bf0e0.wav,as_strong_16i4EbWMWAA_60000,False
