file_id,path,classes_tham_khao
as_strong_-guAT8rQA4o_260000,data/raw/audioset_strong/audio/as_strong_-guAT8rQA4o_260000.wav,alarm_bell;speech_normal
as_strong_0kOp0Xvchss_13000,data/raw/audioset_strong/audio/as_strong_0kOp0Xvchss_13000.wav,applause_cheering;shout_yell;speech_normal
as_strong_0BEtPXdDQrs_250000,data/raw/audioset_strong/audio/as_strong_0BEtPXdDQrs_250000.wav,alarm_bell;door_slam;running_footsteps
as_strong_0gyX2_R456I_20000,data/raw/audioset_strong/audio/as_strong_0gyX2_R456I_20000.wav,explosion
as_strong_1MTKUN3uFrs_440000,data/raw/audioset_strong/audio/as_strong_1MTKUN3uFrs_440000.wav,fireworks;laughter;speech_normal
as_strong_-glN59TmfME_30000,data/raw/audioset_strong/audio/as_strong_-glN59TmfME_30000.wav,glass_breaking;laughter;running_footsteps;speech_normal
as_strong_-gqN3xq05ns_10000,data/raw/audioset_strong/audio/as_strong_-gqN3xq05ns_10000.wav,gunshot;running_footsteps;speech_normal
as_strong_-K7wCAdBEIo_30000,data/raw/audioset_strong/audio/as_strong_-K7wCAdBEIo_30000.wav,laughter;shout_yell;speech_normal
as_strong_-HIozxABvUQ_30000,data/raw/audioset_strong/audio/as_strong_-HIozxABvUQ_30000.wav,object_drop_dishes;shout_yell;speech_normal
as_strong_-99MQ06mPYE_30000,data/raw/audioset_strong/audio/as_strong_-99MQ06mPYE_30000.wav,object_drop_dishes;running_footsteps;speech_normal
as_strong_03bZUQDFJU8_30000,data/raw/audioset_strong/audio/as_strong_03bZUQDFJU8_30000.wav,scream;speech_normal
as_strong_-oGJwGEsIiA_90000,data/raw/audioset_strong/audio/as_strong_-oGJwGEsIiA_90000.wav,laughter;shout_yell;speech_normal
as_strong_13ApmSOcZpU_30000,data/raw/audioset_strong/audio/as_strong_13ApmSOcZpU_30000.wav,siren;speech_normal
as_strong_-45YCn58LSk_90000,data/raw/audioset_strong/audio/as_strong_-45YCn58LSk_90000.wav,object_drop_dishes;speech_normal
as_strong_-3MV6T3u9Ig_30000,data/raw/audioset_strong/audio/as_strong_-3MV6T3u9Ig_30000.wav,laughter;shout_yell;speech_normal;vehicle_crash
as_strong_-OSpN9z9WOg_20000,data/raw/audioset_strong/audio/as_strong_-OSpN9z9WOg_20000.wav,alarm_bell
as_strong_0WLcRXn2Th0_30000,data/raw/audioset_strong/audio/as_strong_0WLcRXn2Th0_30000.wav,applause_cheering;laughter
as_strong_-AIHL5EIKUg_30000,data/raw/audioset_strong/audio/as_strong_-AIHL5EIKUg_30000.wav,door_slam;speech_normal
as_strong_0yZGysisqY0_12000,data/raw/audioset_strong/audio/as_strong_0yZGysisqY0_12000.wav,explosion
as_strong_-_WukCb36i0_100000,data/raw/audioset_strong/audio/as_strong_-_WukCb36i0_100000.wav,fireworks;speech_normal
as_strong_-eUt1V7Pais_10000,data/raw/audioset_strong/audio/as_strong_-eUt1V7Pais_10000.wav,glass_breaking;speech_normal
as_strong_0VfSLH1v_54_40000,data/raw/audioset_strong/audio/as_strong_0VfSLH1v_54_40000.wav,gunshot;speech_normal
as_strong_-FiHp5DFJmY_30000,data/raw/audioset_strong/audio/as_strong_-FiHp5DFJmY_30000.wav,laughter;speech_normal
as_strong_-Xo3fxIH7Uk_30000,data/raw/audioset_strong/audio/as_strong_-Xo3fxIH7Uk_30000.wav,object_drop_dishes;speech_normal
as_strong_-ewBC-6gLSo_30000,data/raw/audioset_strong/audio/as_strong_-ewBC-6gLSo_30000.wav,running_footsteps
as_strong_-nDPmlHReow_60000,data/raw/audioset_strong/audio/as_strong_-nDPmlHReow_60000.wav,applause_cheering;laughter;scream;shout_yell
as_strong_-ockHs8mYQo_12000,data/raw/audioset_strong/audio/as_strong_-ockHs8mYQo_12000.wav,shout_yell;speech_normal
as_strong_-75iY1j3MeY_30000,data/raw/audioset_strong/audio/as_strong_-75iY1j3MeY_30000.wav,siren
as_strong_-0TTFAArJ9k_30000,data/raw/audioset_strong/audio/as_strong_-0TTFAArJ9k_30000.wav,speech_normal
as_strong_08bVSqAKJiM_60000,data/raw/audioset_strong/audio/as_strong_08bVSqAKJiM_60000.wav,siren;speech_normal;vehicle_crash
