filename	onset	offset	event_label
blind_0359d5d9910c0477.wav	0.000	10.000	siren
blind_04898d77c421b1eb.wav	0.000	0.980	applause_cheering
blind_04898d77c421b1eb.wav	1.170	3.000	applause_cheering
blind_04898d77c421b1eb.wav	7.230	10.000	speech_normal
blind_138883ef3033460e.wav	0.000	7.460	explosion
blind_138883ef3033460e.wav	8.400	10.000	speech_normal
blind_14cc7e9927db182a.wav	0.000	5.430	scream
blind_1ee54ee9ad8b1505.wav	0.000	10.000	applause_cheering
blind_1fe3e9dbdedbaff7.wav	4.550	10.000	alarm_bell
blind_22bb89b822a4c411.wav	0.000	10.000	speech_normal
blind_29c6a86bd80b53a0.wav	0.000	10.000	siren
blind_32b71b12b32d5b36.wav	0.000	3.900	speech_normal
blind_32b71b12b32d5b36.wav	6.970	8.970	speech_normal
blind_32b71b12b32d5b36.wav	8.960	10.000	object_drop_dishes
blind_3713dd8c054dd6f3.wav	0.370	7.820	speech_normal
blind_3af9f19856015736.wav	1.050	2.430	gunshot
blind_4b705dafbd20bfcd.wav	1.340	3.550	speech_normal
blind_4b705dafbd20bfcd.wav	4.150	4.930	speech_normal
blind_4c8107e79b749370.wav	0.000	10.000	alarm_bell
blind_4f58429397e45658.wav	2.070	3.510	speech_normal
blind_4f58429397e45658.wav	4.940	10.000	speech_normal
blind_528813416c4bb356.wav	2.000	10.000	running_footsteps
blind_528813416c4bb356.wav	3.400	4.020	speech_normal
blind_528813416c4bb356.wav	8.120	8.460	speech_normal
blind_528813416c4bb356.wav	9.770	10.000	speech_normal
blind_568ac90631fcb137.wav	0.000	10.000	siren
blind_57e7871021d700e0.wav	0.800	1.480	door_slam
blind_57e7871021d700e0.wav	3.200	10.000	speech_normal
blind_625aca7051e42ac0.wav	1.720	10.000	applause_cheering
blind_625aca7051e42ac0.wav	2.950	5.000	speech_normal
blind_64970e8a46297230.wav	0.000	0.710	speech_normal
blind_64970e8a46297230.wav	2.530	3.120	door_slam
blind_64970e8a46297230.wav	3.380	4.640	speech_normal
blind_64970e8a46297230.wav	6.630	6.720	door_slam
blind_64970e8a46297230.wav	7.060	7.810	speech_normal
blind_64970e8a46297230.wav	9.700	10.000	door_slam
blind_774b5b462980cb3b.wav	1.200	2.880	gunshot
blind_774b5b462980cb3b.wav	7.600	8.000	speech_normal
blind_7a1269e46f8bf0e0.wav	0.000	4.800	siren
blind_7a1269e46f8bf0e0.wav	1.200	1.950	speech_normal
blind_7a1269e46f8bf0e0.wav	2.720	3.600	speech_normal
blind_7a1269e46f8bf0e0.wav	8.000	10.000	speech_normal
blind_7af98a58cd71fe4c.wav	0.000	1.580	gunshot
blind_7af98a58cd71fe4c.wav	2.340	3.960	gunshot
blind_7af98a58cd71fe4c.wav	4.240	6.000	gunshot
blind_7c7c7807c75ca2c5.wav	2.790	4.760	alarm_bell
blind_7c7c7807c75ca2c5.wav	6.030	7.680	alarm_bell
blind_7c7c7807c75ca2c5.wav	9.070	10.000	alarm_bell
blind_7c8fd206f1ed6316.wav	0.000	0.950	speech_normal
blind_7c8fd206f1ed6316.wav	1.240	6.180	siren
blind_7c8fd206f1ed6316.wav	3.460	5.530	siren
blind_7c8fd206f1ed6316.wav	8.350	10.000	siren
blind_7c8fd206f1ed6316.wav	8.350	10.000	speech_normal
blind_8268a9d5c827048d.wav	0.000	5.460	speech_normal
blind_82d95fd2df84dacb.wav	9.060	10.000	applause_cheering
blind_8be5452f42b23b89.wav	2.560	3.670	speech_normal
blind_8be5452f42b23b89.wav	5.270	5.680	shout_yell
blind_8be5452f42b23b89.wav	5.860	10.000	speech_normal
blind_9baed54141b443f6.wav	0.000	10.000	applause_cheering
blind_9c6e4344dfb94518.wav	0.000	10.000	siren
blind_9e8322c6cb27f76b.wav	1.330	1.940	object_drop_dishes
blind_9e8322c6cb27f76b.wav	2.820	6.040	speech_normal
blind_a2fcdb2d087a2f2a.wav	0.000	10.000	speech_normal
blind_a37336b2454db55a.wav	9.150	10.000	speech_normal
blind_a53485c2bea65689.wav	0.000	1.250	speech_normal
blind_a53485c2bea65689.wav	1.440	10.000	applause_cheering
blind_a53485c2bea65689.wav	7.550	8.250	speech_normal
blind_b572215bd06d1d5b.wav	0.000	1.380	speech_normal
blind_ce33c72a10649331.wav	0.000	2.040	speech_normal
blind_ce33c72a10649331.wav	2.050	3.460	object_drop_dishes
blind_ce33c72a10649331.wav	3.970	5.910	speech_normal
blind_ce33c72a10649331.wav	6.360	8.000	object_drop_dishes
blind_ce33c72a10649331.wav	8.010	10.000	speech_normal
blind_d030f8ec7bcb618a.wav	0.000	10.000	applause_cheering
blind_d08a480af73e1d54.wav	0.000	10.000	applause_cheering
blind_d1435be4e56fb74b.wav	0.000	10.000	speech_normal
blind_d1435be4e56fb74b.wav	6.960	10.000	applause_cheering
blind_d5e3a8b5e0e542ea.wav	4.670	10.000	speech_normal
blind_d659c46c73a89ba7.wav	1.930	3.450	object_drop_dishes
blind_d659c46c73a89ba7.wav	6.720	7.580	glass_breaking
blind_d659c46c73a89ba7.wav	9.700	10.000	glass_breaking
blind_de042f51b20c55bc.wav	0.000	10.000	explosion
blind_dede95efc7eca4c4.wav	0.000	10.000	speech_normal
blind_e0088e40b4ede801.wav	0.000	10.000	applause_cheering
blind_e8c19256fba8c9f8.wav	0.000	10.000	speech_normal
blind_ebc29e46a4681c01.wav	0.000	10.000	speech_normal
blind_f752f688cca87265.wav	0.000	10.000	scream
blind_f8f8783502703777.wav	0.000	10.000	speech_normal
blind_f903db733b1c7631.wav	0.000	10.000	speech_normal
blind_f903db733b1c7631.wav	2.690	5.000	laughter
blind_faefd6db56e8b12f.wav	0.000	10.000	speech_normal
blind_faefd6db56e8b12f.wav	3.750	10.000	applause_cheering
blind_fdb2b533e732dc62.wav	0.000	6.500	alarm_bell
blind_fdb2b533e732dc62.wav	7.070	8.110	explosion
blind_fdb2b533e732dc62.wav	8.130	10.000	alarm_bell
blind_ffcbf7925d7746a1.wav	0.000	10.000	siren
