file_id,stage,reason_code,detail,decided_by,decided_at
train_000000,verify_synthetic,slice_long_event,dài nhất 1.10s < 8.0s,auto,2026-09-17T05:24:22.532852+00:00
train_000001,verify_synthetic,slice_long_event,dài nhất 1.03s < 8.0s,auto,2026-09-17T05:24:22.532852+00:00
train_000002,verify_synthetic,slice_overlap,không cặp nào chồng lấn ≥30%,auto,2026-09-17T05:24:22.532852+00:00
train_000010,verify_synthetic,slice_overlap,không cặp nào chồng lấn ≥30%,auto,2026-09-17T05:24:22.532852+00:00
train_000019,verify_synthetic,slice_long_event,dài nhất 1.09s < 8.0s,auto,2026-09-17T05:24:22.532852+00:00
train_000021,verify_synthetic,slice_overlap,không cặp nào chồng lấn ≥30%,auto,2026-09-17T05:24:22.532852+00:00
train_000024,verify_synthetic,slice_overlap,không cặp nào chồng lấn ≥30%,auto,2026-09-17T05:24:22.532852+00:00
train_000026,verify_synthetic,slice_long_event,dài nhất 1.05s < 8.0s,auto,2026-09-17T05:24:22.532852+00:00
train_000026,verify_synthetic,slice_overlap,không cặp nào chồng lấn ≥30%,auto,2026-09-17T05:24:22.532852+00:00
train_000029,verify_synthetic,slice_overlap,không cặp nào chồng lấn ≥30%,auto,2026-09-17T05:24:22.532852+00:00
train_000035,verify_synthetic,slice_overlap,không cặp nào chồng lấn ≥30%,auto,2026-09-17T05:24:22.532852+00:00
train_000037,verify_synthetic,slice_overlap,không cặp nào chồng lấn ≥30%,auto,2026-09-17T05:24:22.532852+00:00
train_000040,verify_synthetic,slice_overlap,không cặp nào chồng lấn ≥30%,auto,2026-09-17T05:24:22.532852+00:00
train_000042,verify_synthetic,slice_overlap,không cặp nào chồng lấn ≥30%,auto,2026-09-17T05:24:22.532852+00:00
train_000044,verify_synthetic,slice_overlap,không cặp nào chồng lấn ≥30%,auto,2026-09-17T05:24:22.532852+00:00
train_000047,verify_synthetic,slice_long_event,dài nhất 1.02s < 8.0s,auto,2026-09-17T05:24:22.532852+00:00
train_000047,verify_synthetic,slice_overlap,không cặp nào chồng lấn ≥30%,auto,2026-09-17T05:24:22.532852+00:00
train_000048,verify_synthetic,slice_long_event,dài nhất 0.92s < 8.0s,auto,2026-09-17T05:24:22.532852+00:00
train_000051,verify_synthetic,slice_overlap,không cặp nào chồng lấn ≥30%,auto,2026-09-17T05:24:22.532852+00:00
train_000053,verify_synthetic,slice_overlap,không cặp nào chồng lấn ≥30%,auto,2026-09-17T05:24:22.532852+00:00
train_000059,verify_synthetic,slice_long_event,dài nhất 0.99s < 8.0s,auto,2026-09-17T05:24:22.532852+00:00
train_000061,verify_synthetic,slice_overlap,không cặp nào chồng lấn ≥30%,auto,2026-09-17T05:24:22.532852+00:00
train_000063,verify_synthetic,slice_overlap,không cặp nào chồng lấn ≥30%,auto,2026-09-17T05:24:22.532852+00:00
train_000064,verify_synthetic,slice_long_event,dài nhất 0.92s < 8.0s,auto,2026-09-17T05:24:22.532852+00:00
train_000067,verify_synthetic,slice_overlap,không cặp nào chồng lấn ≥30%,auto,2026-09-17T05:24:22.532852+00:00
train_000069,verify_synthetic,slice_overlap,không cặp nào chồng lấn ≥30%,auto,2026-09-17T05:24:22.532852+00:00
train_000071,verify_synthetic,slice_overlap,không cặp nào chồng lấn ≥30%,auto,2026-09-17T05:24:22.532852+00:00
train_000072,verify_synthetic,slice_overlap,không cặp nào chồng lấn ≥30%,auto,2026-09-17T05:24:22.532852+00:00
train_000073,verify_synthetic,slice_overlap,không cặp nào chồng lấn ≥30%,auto,2026-09-17T05:24:22.532852+00:00
train_000078,verify_synthetic,slice_overlap,không cặp nào chồng lấn ≥30%,auto,2026-09-17T05:24:22.532852+00:00
train_000081,verify_synthetic,slice_overlap,không cặp nào chồng lấn ≥30%,auto,2026-09-17T05:24:22.532852+00:00
train_000089,verify_synthetic,slice_long_event,dài nhất 1.01s < 8.0s,auto,2026-09-17T05:24:22.532852+00:00
train_000092,verify_synthetic,slice_overlap,không cặp nào chồng lấn ≥30%,auto,2026-09-17T05:24:22.532852+00:00
train_000093,verify_synthetic,slice_overlap,không cặp nào chồng lấn ≥30%,auto,2026-09-17T05:24:22.532852+00:00
train_000100,verify_synthetic,slice_long_event,dài nhất 1.08s < 8.0s,auto,2026-09-17T05:24:22.532852+00:00
train_000102,verify_synthetic,slice_long_event,dài nhất 0.95s < 8.0s,auto,2026-09-17T05:24:22.532852+00:00
train_000104,verify_synthetic,slice_overlap,không cặp nào chồng lấn ≥30%,auto,2026-09-17T05:24:22.532852+00:00
train_000108,verify_synthetic,slice_long_event,dài nhất 1.09s < 8.0s,auto,2026-09-17T05:24:22.532852+00:00
train_000109,verify_synthetic,slice_overlap,không cặp nào chồng lấn ≥30%,auto,2026-09-17T05:24:22.532852+00:00
train_000110,verify_synthetic,slice_overlap,không cặp nào chồng lấn ≥30%,auto,2026-09-17T05:24:22.532852+00:00
train_000111,verify_synthetic,slice_overlap,không cặp nào chồng lấn ≥30%,auto,2026-09-17T05:24:22.532852+00:00
train_000112,verify_synthetic,slice_overlap,không cặp nào chồng lấn ≥30%,auto,2026-09-17T05:24:22.532852+00:00
train_000115,verify_synthetic,slice_overlap,không cặp nào chồng lấn ≥30%,auto,2026-09-17T05:24:22.532852+00:00
train_000117,verify_synthetic,slice_long_event,dài nhất 1.09s < 8.0s,auto,2026-09-17T05:24:22.532852+00:00
train_000117,verify_synthetic,slice_overlap,không cặp nào chồng lấn ≥30%,auto,2026-09-17T05:24:22.532852+00:00
train_000118,verify_synthetic,slice_overlap,không cặp nào chồng lấn ≥30%,auto,2026-09-17T05:24:22.532852+00:00
train_000121,verify_synthetic,slice_long_event,dài nhất 1.09s < 8.0s,auto,2026-09-17T05:24:22.532852+00:00
train_000121,verify_synthetic,slice_overlap,không cặp nào chồng lấn ≥30%,auto,2026-09-17T05:24:22.532852+00:00
train_000131,verify_synthetic,slice_long_event,dài nhất 1.09s < 8.0s,auto,2026-09-17T05:24:22.532852+00:00
train_000132,verify_synthetic,slice_overlap,không cặp nào chồng lấn ≥30%,auto,2026-09-17T05:24:22.532852+00:00
train_000133,verify_synthetic,slice_long_event,dài nhất 0.96s < 8.0s,auto,2026-09-17T05:24:22.532852+00:00
